tick,cmd_0,cmd_1,cmd_2,ang_vel_0,ang_vel_1,ang_vel_2,proj_grav_0,proj_grav_1,proj_grav_2,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,vel_12,vel_13,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13
0,0.0,0.0,0.0,0.001134464,0.0077558067,-0.00212712,0.060313065,0.015258861,-0.99806285,-0.0017262532,0.009782101,-0.0005754177,-0.02627741,0.03855299,-0.0017262532,-0.006713207,-0.0063295946,0.019372396,-0.021674067,-0.0090148775,0.0389366,0.0013426413,-0.0028770885,-0.085755706,0.013122759,-0.085755706,0.1699855,-0.057068743,-0.00030518044,0.08514534,-0.00030518044,0.08514534,-0.067811094,-0.19134814,-0.0007629511,-0.0007629511,-0.0007629511,0.007331349,-0.060752615,0.033333384,0.4009921,-0.5947517,0.026498457,-0.07741288,0.09558098,-0.31856686,0.3386612,0.4283106,-0.5474036,0.011746936,0.02865231
1,0.0,0.0,0.0,0.0022252947,0.011028299,0.0011453723,0.060313065,0.015258861,-0.99806285,-0.0017262532,0.009782101,0.0001918059,-0.025126573,0.03855299,-0.0017262532,-0.0070968186,-0.0063295946,0.01822156,-0.022057679,-0.0063295946,0.03701854,0.0013426413,-0.0028770885,-0.085755706,-0.0009155413,0.34027618,0.1699855,0.11883726,-0.25604638,-0.17059587,-0.00030518044,-0.085755706,0.07989624,0.1967193,-0.34103915,-0.0007629511,-0.0053406577,0.03931732,-0.07976732,0.009828448,0.46870664,-1.058583,0.034046695,-0.008377194,0.06315361,-0.37599042,0.5210602,0.34699976,-0.7025205,-0.016533144,0.052404396
2,0.0,0.0,0.0,0.001134464,0.0033924838,0.003327034,0.060313065,0.015258861,-0.99806285,-0.0017262532,0.0090148775,0.0005754177,-0.021674067,0.03701854,-0.0017262532,-0.007864042,-0.0063295946,0.014769055,-0.021674067,0.0028770885,0.025893798,0.0013426413,-0.002109865,0.1699855,-0.018616008,-0.25604638,0.25543603,-0.16449225,0.08514534,0.25543603,0.1699855,-0.00030518044,-0.044983596,0.5673304,-0.7682918,-0.0007629511,0.08926528,0.043848004,-0.09157063,-0.0349135,0.54520625,-1.2184501,0.025601383,0.006099142,0.04101184,-0.36173365,0.5199698,0.2545752,-0.65505254,-0.046402235,0.022376724
3,0.0,0.0,0.0,0.001134464,0.04048073,-0.0010362893,0.060313065,0.015258861,-0.99806285,-0.0013426413,0.0090148775,0.0005754177,-0.016687114,0.032415196,-0.002109865,-0.008247654,-0.006713207,0.010165713,-0.021290455,0.014001831,0.0074804304,0.00095902954,-0.00095902954,-0.17059587,0.025940338,-0.085755706,0.08514534,-0.45722133,-0.085755706,-0.00030518044,-0.17059587,-0.34088656,-0.12823682,0.47333485,-0.77744716,-0.064850844,-0.0007629511,0.030110031,-0.09726524,-0.081708,0.6162265,-1.2794833,0.0056484565,0.009984851,0.0146597065,-0.34558514,0.41917008,0.17510909,-0.53183293,-0.06441766,0.019493215
4,0.0,0.0,0.0,0.007679449,0.1102939,0.064413555,0.05616682,0.015263402,-0.9983047,-0.0013426413,0.008631266,0.0017262532,-0.012850996,0.02627741,-0.0017262532,-0.008247654,-0.008247654,0.005945983,-0.021674067,0.018605173,-0.010932936,0.00095902954,-0.0005754177,-0.085755706,-0.09735256,0.34027618,-0.085755706,-0.20611887,0.08514534,0.51117724,-0.25604638,-0.17059587,-0.074525066,0.124208435,-0.843061,-0.0007629511,-0.0007629511,0.01798936,-0.10528791,-0.15530597,0.6583261,-1.2940664,0.022280168,0.026934274,-0.025967546,-0.36302987,0.39836085,0.17056465,-0.32282,-0.07655265,-0.010317728
5,0.0,0.0,0.0,0.007679449,0.1102939,0.064413555,0.05616682,0.015263402,-0.9983047,-0.0017262532,0.008631266,0.0024934767,-0.010549325,0.023592126,-0.0024934767,-0.008247654,-0.009398489,0.0024934767,-0.02244129,0.021290455,-0.023975737,0.0001918059,-0.00095902954,-0.25604638,-0.05523766,0.08514534,0.08514534,-0.0060425727,-0.34088656,-0.00030518044,-0.085755706,0.34027618,-0.014099336,0.12957962,-0.4585336,-0.0053406577,-0.0007629511,0.005156629,-0.12340292,-0.1590288,0.6724072,-1.3172715,0.004304135,0.07952478,-0.058266073,-0.3681382,0.36627945,0.13577493,-0.22660625,-0.05957431,-0.025284946
6,0.0,0.0,0.0,-0.033772122,0.07756898,0.11131928,0.05413647,0.01526553,-0.99841684,-0.0017262532,0.008247654,0.002109865,-0.008247654,0.02244129,-0.0024934767,-0.007864042,-0.010165713,-0.0013426413,-0.023975737,0.021290455,-0.03126436,-0.0005754177,-0.0013426413,-0.25604638,-0.12237736,0.34027618,0.08514534,-0.1550927,0.1699855,-0.25604638,-0.25604638,-0.085755706,-0.082581826,-0.15240711,-0.09231708,-0.0007629511,-0.08316167,0.026533052,-0.14259055,-0.1393264,0.68672425,-1.292624,0.02475008,0.1017145,-0.081487924,-0.33102533,0.26798162,0.11598624,-0.16371912,-0.05230411,-0.029143572
7,0.0,0.0,0.0,0.005497787,0.14629132,0.046960264,0.05007288,0.014249171,-0.99864393,-0.0017262532,0.007864042,0.002109865,-0.0063295946,0.020523231,-0.0028770885,-0.0074804304,-0.010549325,-0.004411536,-0.025126573,0.018988784,-0.032415196,-0.0005754177,-0.0024934767,0.1699855,-0.116884105,-0.17059587,-0.085755706,-0.15643549,0.08514534,-0.00030518044,-0.17059587,-0.085755706,-0.22357519,-0.24103151,-0.12436103,-0.0007629511,-0.08316167,-0.014229335,-0.14457315,-0.17659353,0.6993154,-1.3227456,-0.0041550994,0.08937936,-0.06939016,-0.3469059,0.3022333,0.17054418,-0.12854108,-0.06352595,-0.016401947
8,0.0,0.0,0.0,0.005497787,0.14629132,0.046960264,0.05007288,0.014249171,-0.99864393,-0.0017262532,0.0074804304,0.0013426413,-0.004411536,0.018988784,-0.0028770885,-0.0070968186,-0.010549325,-0.006713207,-0.025126573,0.012083772,-0.032798808,-0.0005754177,-0.0032607005,-0.085755706,-0.025329977,-0.25604638,0.08514534,-0.027527276,-0.085755706,-0.00030518044,-0.00030518044,-0.42633706,-0.047669183,-0.34711224,-0.0007629511,-0.022125581,-0.0007629511,-0.02136416,-0.14045355,-0.16197318,0.700745,-1.3620627,0.003387129,0.07936401,-0.0621301,-0.35279077,0.32381102,0.18740067,-0.109133914,-0.060069207,-0.014796838
9,0.0,0.0,0.0,-0.011955505,0.17901623,-0.015217089,0.04491616,0.014254621,-0.998889,-0.0024934767,0.0070968186,0.00095902954,-0.0017262532,0.01822156,-0.0032607005,-0.0070968186,-0.010549325,-0.008631266,-0.02435935,0.0074804304,-0.032415196,-0.0013426413,-0.0032607005,-0.25604638,-0.008850233,0.1699855,0.08514534,0.044983596,-0.085755706,-0.17059587,-0.25604638,-0.00030518044,-0.07318227,-0.10675212,0.081635766,-0.0038147555,-0.0007629511,-0.051149935,-0.14506653,-0.19186348,0.69164026,-1.3980784,-0.02215653,0.09642976,-0.04046213,-0.38256577,0.30285785,0.14586683,-0.120876715,-0.05809695,0.0063036084
10,0.0,0.0,0.0,-0.011955505,0.17901623,-0.015217089,0.04491616,0.014254621,-0.998889,-0.0032607005,0.006713207,0.00095902954,-0.0005754177,0.01591989,-0.0036443123,-0.0070968186,-0.010549325,-0.010932936,-0.023208514,0.0036443123,-0.030880751,-0.0017262532,-0.0032607005,0.25543603,0.008239872,0.1699855,0.5960174,-0.1322652,0.08514534,0.1699855,0.1699855,-0.42633706,0.04901198,-0.2853437,0.13199054,-0.080109864,-0.0007629511,-0.05509816,-0.13372874,-0.1914882,0.690842,-1.4635942,-0.011907142,0.08262145,-0.041039214,-0.3836614,0.3350463,0.17339072,-0.09920086,-0.051518276,0.0155801475
11,0.0,0.0,0.0,-0.008683013,0.1953787,0.013144511,0.04186653,0.014257048,-0.9990215,-0.004027924,0.006713207,0.0005754177,-0.0001918059,0.011316548,-0.0047951476,-0.0074804304,-0.010549325,-0.012467383,-0.022057679,0.00095902954,-0.026661022,-0.0017262532,-0.0028770885,-0.25604638,0.12298772,0.34027618,0.4257267,-0.29340047,-0.17059587,-0.17059587,-0.34088656,-0.17059587,0.1309224,0.044983596,0.3288319,-0.0007629511,-0.0007629511,-0.037702873,-0.13919374,-0.1876221,0.69235134,-1.4496708,-0.014533654,0.09096039,-0.037783787,-0.38440257,0.2849009,0.13794507,-0.16563964,-0.051467516,0.0060925186
12,0.0,0.0,0.0,0.007679449,0.19646953,0.08623017,0.034744393,0.0142621985,-0.99929446,-0.0051787593,0.006713207,0.00095902954,-0.0001918059,0.0063295946,-0.005945983,-0.0074804304,-0.010165713,-0.014001831,-0.020906843,-0.00095902954,-0.018988784,-0.0013426413,-0.0028770885,-0.34088656,-0.085755706,-0.00030518044,-0.25604638,-0.08526742,0.08514534,0.08514534,0.1699855,-0.17059587,0.027527276,-0.15240711,0.3059434,-0.0007629511,-0.0007629511,-0.014996871,-0.14607212,-0.18087834,0.68577385,-1.4188738,0.021296153,0.09100785,-0.031399503,-0.38391253,0.31036597,0.20037274,-0.22388525,-0.06592408,-0.0032504052
13,0.0,0.0,0.0,0.007679449,0.19646953,0.08623017,0.034744393,0.0142621985,-0.99929446,-0.005945983,0.006713207,0.0013426413,-0.0005754177,0.0024934767,-0.006713207,-0.0074804304,-0.010165713,-0.01591989,-0.019756008,0.0001918059,-0.016303502,-0.0013426413,-0.0028770885,-0.00030518044,0.028381782,-0.25604638,-0.25604638,-0.2920577,-0.085755706,-0.17059587,0.1699855,0.1699855,0.036926832,0.16986343,-0.0007629511,-0.0007629511,-0.0007629511,-0.016972706,-0.1456807,-0.18404797,0.6760783,-1.3996589,0.015309542,0.10845668,-0.04181005,-0.3924604,0.32826376,0.21563704,-0.24597529,-0.06543599,-0.017626628
14,0.0,0.0,0.0,0.033859387,0.18228874,0.13095424,0.027558831,0.013247844,-0.9995324,-0.005945983,0.006713207,0.0017262532,-0.0005754177,-0.0017262532,-0.006713207,-0.0074804304,-0.010165713,-0.017454337,-0.01822156,0.002109865,-0.01591989,-0.0013426413,-0.004027924,0.4257267,0.13275349,-0.00030518044,-0.34088656,-0.29608607,-0.00030518044,-0.085755706,0.1699855,-0.42633706,0.09332418,0.2007477,-0.0007629511,-0.0007629511,-0.07553216,0.0067842156,-0.14687905,-0.1768057,0.6780944,-1.3697307,0.028766908,0.0965345,-0.05497712,-0.37141854,0.32378688,0.22801669,-0.26465127,-0.08109249,-0.005287662
