tick,cmd_0,cmd_1,cmd_2,ang_vel_0,ang_vel_1,ang_vel_2,proj_grav_0,proj_grav_1,proj_grav_2,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,vel_12,vel_13,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13
0,0.0,0.0,0.0,-0.0031852259,-0.017584192,-0.0044069565,0.021452038,0.019372568,-0.9995822,0.0001918059,0.010549325,-0.00095902954,-0.02474296,0.02013962,-0.0032607005,-0.0090148775,0.0005754177,0.02435935,-0.010932936,-0.020906843,0.025510184,0.0013426413,-0.004411536,0.1699855,-0.019226369,-0.00030518044,0.08514534,0.014099336,-0.085755706,-0.085755706,-0.00030518044,0.1699855,0.101380944,0.023498895,-0.0007629511,-0.0007629511,-0.0007629511,-0.01713074,-0.07822125,0.053307474,0.40807214,-0.4278701,0.029174637,-0.04830892,0.05739925,-0.29954186,0.21510826,0.40012562,-0.42729723,-0.02639895,0.028649576
1,0.0,0.0,0.0,-0.0010035643,-0.016493361,-0.0022252947,0.021452038,0.019372568,-0.9995822,0.0001918059,0.010549325,-0.0005754177,-0.023592126,0.020523231,-0.0032607005,-0.009398489,0.00095902954,0.023975737,-0.010932936,-0.018605173,0.023208514,0.0013426413,-0.0047951476,-0.085755706,0.053406578,0.08514534,0.4257267,0.09063859,-0.5117876,-0.34088656,-0.17059587,0.08514534,0.08123903,0.24774548,-0.35172045,-0.0007629511,-0.0053406577,0.0016263127,-0.09672952,0.053479865,0.4613743,-0.7949477,0.02970252,0.019729324,0.017718922,-0.34130466,0.36560696,0.35003334,-0.5206561,-0.044556662,0.049779184
2,0.0,0.0,0.0,-0.006457718,0.023867378,-0.001134464,0.021452038,0.019372568,-0.9995822,-0.0001918059,0.010165713,0.0005754177,-0.018988784,0.017070726,-0.0028770885,-0.009398489,0.0013426413,0.022057679,-0.0090148775,-0.007864042,0.01170016,0.00095902954,-0.004411536,-0.25604638,0.032043945,-0.085755706,0.08514534,-0.3309987,0.25543603,-0.00030518044,-0.17059587,-0.00030518044,0.27191576,0.6881819,-0.7255665,-0.0007629511,0.08468757,-0.00068036467,-0.12440333,0.00085389614,0.53709817,-0.91414195,0.027758412,0.03132335,0.013790714,-0.34141165,0.36273742,0.24710962,-0.46922478,-0.07016013,0.034656733
3,0.0,0.0,0.0,-0.02391101,0.11876965,0.010864675,0.019412445,0.0183532,-0.9996431,-0.0001918059,0.009782101,0.0013426413,-0.015152667,0.009782101,-0.0032607005,-0.009398489,0.0017262532,0.01822156,-0.004411536,0.0047951476,-0.005562371,0.0005754177,-0.0032607005,-0.00030518044,-0.03509575,-0.00030518044,-0.17059587,-0.5069047,0.4257267,-0.00030518044,-0.085755706,-0.085755706,0.21014725,0.43707943,-0.76523995,-0.08621348,-0.0007629511,-0.01944679,-0.13734058,-0.07796272,0.6004364,-1.0061305,0.022254637,0.058639057,0.0055097267,-0.36308795,0.3598567,0.20567356,-0.31962186,-0.07884997,0.02405367
4,0.0,0.0,0.0,-0.008639379,0.124223806,0.041407935,0.01631722,0.01835575,-0.99969834,0.0001918059,0.009398489,0.0013426413,-0.010932936,0.0047951476,-0.0032607005,-0.009398489,0.0013426413,0.014769055,-0.00095902954,0.012083772,-0.018988784,-0.0001918059,-0.0017262532,0.1699855,0.00030518044,0.08514534,-0.00030518044,-0.23028916,-0.00030518044,-0.25604638,-0.42633706,-0.42633706,0.20343328,0.35114062,-0.37308308,-0.08468757,0.009918365,-0.013161734,-0.14901629,-0.08811957,0.64872444,-1.0684285,0.013331333,0.08150912,-0.028876826,-0.33974713,0.31157902,0.1709049,-0.23334777,-0.07203386,-0.010488406
5,0.0,0.0,0.0,-0.03591015,0.023867378,0.085041165,0.01631722,0.01835575,-0.99969834,-0.0005754177,0.0090148775,0.0028770885,-0.0074804304,0.0013426413,-0.0036443123,-0.009398489,0.0005754177,0.012467383,-0.0001918059,0.014001831,-0.022057679,-0.0005754177,-0.0017262532,-0.34088656,0.03570611,-0.17059587,0.1699855,-0.1980621,0.34027618,-0.17059587,0.1699855,-0.17059587,-0.0033569848,0.09063859,-0.0007629511,-0.0007629511,-0.064850844,0.0030930117,-0.14817846,-0.049280033,0.6373764,-1.0271101,0.03861228,0.09414417,-0.09124783,-0.3063833,0.18884481,0.149151,-0.21852806,-0.08327042,-0.006947875
6,0.0,0.0,0.0,-0.019547688,0.12313298,0.098131135,0.014278753,0.017336946,-0.99974775,-0.0001918059,0.0090148775,0.0024934767,-0.0051787593,-0.0001918059,-0.004027924,-0.008631266,0.0005754177,0.01170016,-0.00095902954,0.01361822,-0.021674067,-0.00095902954,-0.002109865,0.51117724,-0.017395286,0.08514534,0.1699855,-0.105409324,-0.17059587,-0.085755706,-0.17059587,-0.085755706,-0.030212864,-0.120180055,-0.0007629511,-0.0007629511,-0.0007629511,0.001578711,-0.150024,-0.109850764,0.6578467,-1.059808,0.017233983,0.11448888,-0.09436761,-0.32305983,0.1755388,0.20927408,-0.2047578,-0.07458507,-0.033439532
7,0.0,0.0,0.0,-0.045727625,0.19621864,0.07304203,0.0102010565,0.016318545,-0.9998148,-0.0005754177,0.008631266,0.002109865,-0.0028770885,-0.00095902954,-0.004411536,-0.008247654,0.00095902954,0.010932936,-0.0005754177,0.010549325,-0.021674067,-0.0013426413,-0.0032607005,-0.25604638,-0.09185931,-0.00030518044,-0.00030518044,-0.014099336,0.08514534,0.4257267,0.08514534,-0.42633706,-0.0221561,-0.23834592,-0.0007629511,-0.08468757,-0.15030137,-0.028193966,-0.16117808,-0.13092832,0.6816789,-1.1381328,0.036400877,0.11117191,-0.03873405,-0.36367908,0.2689569,0.22074522,-0.1668197,-0.049499534,0.01628533
8,0.0,0.0,0.0,-0.029365165,0.14822209,0.025045475,0.007142201,0.01631935,-0.99984133,-0.0005754177,0.008631266,0.002109865,-0.00095902954,-0.0028770885,-0.004411536,-0.008247654,0.00095902954,0.009782101,0.0005754177,0.0070968186,-0.020906843,-0.0024934767,-0.0047951476,-0.17059587,0.059510186,-0.00030518044,0.1699855,-0.133608,-0.25604638,-0.085755706,-0.085755706,-0.00030518044,0.027527276,-0.13629359,-0.0007629511,-0.08621348,-0.0007629511,-0.03722997,-0.14981946,-0.11166364,0.6622985,-1.145726,0.006380968,0.11284927,-0.05861043,-0.3518171,0.22654481,0.19230704,-0.18087527,-0.052565213,0.015432358
9,0.0,0.0,0.0,-0.030455995,0.15694873,-0.006588618,0.0040826057,0.015299992,-0.9998746,-0.00095902954,0.008247654,0.002109865,0.0005754177,-0.0051787593,-0.0047951476,-0.008247654,0.00095902954,0.008631266,0.002109865,0.005562371,-0.021290455,-0.0028770885,-0.0047951476,0.08514534,0.0051880674,0.34027618,-0.00030518044,-0.21014725,-0.00030518044,0.25543603,-0.00030518044,-0.085755706,0.047669183,-0.04901198,-0.0007629511,-0.0007629511,-0.0007629511,-0.05676639,-0.14328137,-0.1253664,0.66158885,-1.1290424,-0.0071685426,0.09741447,-0.058024883,-0.35143846,0.18782562,0.18744281,-0.17679891,-0.06890679,0.030762993
10,0.0,0.0,0.0,-0.0053668874,0.17985618,-4.363323e-05,0.0010227592,0.015300426,-0.9998824,-0.0017262532,0.007864042,0.002109865,0.002109865,-0.008247654,-0.0051787593,-0.0090148775,0.0013426413,0.0063295946,0.0024934767,0.0036443123,-0.020906843,-0.0032607005,-0.0047951476,0.1699855,-0.1138323,-0.17059587,0.1699855,-0.16180667,0.25543603,-0.085755706,0.1699855,-0.00030518044,0.040955216,-0.17254902,0.04196231,-0.0007629511,-0.0007629511,-0.059080213,-0.13948369,-0.13133366,0.6621438,-1.1605544,-0.014626637,0.09569564,-0.051881365,-0.35553542,0.21668147,0.20910455,-0.1673363,-0.0747997,0.023622498
11,0.0,0.0,0.0,-0.002094395,0.20167279,0.035953782,-0.003057601,0.015300783,-0.9998783,-0.0024934767,0.0074804304,0.002109865,0.004411536,-0.010549325,-0.0063295946,-0.0090148775,0.0013426413,0.0051787593,0.0036443123,0.0032607005,-0.019372396,-0.0028770885,-0.004411536,-0.00030518044,-0.06317235,-0.17059587,-0.00030518044,-0.2208896,-0.17059587,-0.00030518044,-0.00030518044,0.1699855,0.14972152,0.20611887,0.043488212,-0.0007629511,-0.0007629511,-0.049043372,-0.1461733,-0.13281931,0.6679141,-1.1419363,-0.011254173,0.1024582,-0.04067841,-0.3764592,0.22152336,0.19482453,-0.20148554,-0.06663113,0.013890639
12,0.0,0.0,0.0,-0.011911872,0.21476276,0.06976954,-0.0061181835,0.015300883,-0.9998642,-0.0036443123,0.0070968186,0.0024934767,0.005945983,-0.012850996,-0.0070968186,-0.009398489,0.0013426413,0.0028770885,0.005945983,0.0028770885,-0.018988784,-0.0028770885,-0.004411536,0.08514534,0.09491111,0.08514534,0.08514534,-0.067811094,-0.17059587,-0.17059587,-0.25604638,-0.25604638,0.12555124,0.133608,-0.0007629511,0.0022888533,-0.0007629511,-0.032106474,-0.15315679,-0.12970018,0.6731925,-1.1626801,0.0066002645,0.11070784,-0.032594383,-0.3705291,0.23032047,0.20436543,-0.19658697,-0.061934415,0.007628292
